utt,spk,asr,cond,cer,hyp
p00_u00,p00,whisper-small,ce10_notch,0.0580,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책 회의를 열고 정책 경검에 나섰다
p00_u00,p00,whisper-small,taps_lpf4k,0.0435,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다.
p00_u00,p00,whisper-small,ce10_lpf4k,0.0725,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책 회의를 열고 정책 경검에 나섰다.
p00_u00,p00,whisper-small,hyb_tapsLow_ceHigh,0.0580,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경검에 나섰다.
p00_u00,p00,whisper-small,hyb_ceLow_tapsHigh,0.0580,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경검에 나섰다.
p00_u01,p00,mms-1b-all,no_se,0.4571,이나의 이는 피 부상 접통군사 흰에 마을 버스 은송 사업 조합등이 참석의 안전 학부 추진 상한 전건과 안전 관리 장아방하을 함께 모었켰다
p00_u01,p00,mms-1b-all,taps,0.2857,인날 후이는 시 부상 교통공사 시키내 마을 법스 운송 상업 조합 등이 참석해 안전 확고 추진 상항 정공과 안전 관리 강화 방안을 함께 모색겠다
p00_u01,p00,mms-1b-all,enc5,0.4714,인난 소이이는 1입 부상 교통공사 신에 말을 법스 은송 사업 조합경이 참석해 안전 사고 추진 상항 경공과 안정 발리 강화방안을 삼께 모색겠다
p00_u01,p00,mms-1b-all,ce0,0.3429,인날 수 이는 시 부상 교통 공사 신에 마을 버스 운송 사업 조합등이 참석해 안전 학고 추진 상항 정공과 안정 관리 강화 방안을 함께 모색겠다
p00_u01,p00,mms-1b-all,ce10,0.3429,인난 회위는 시 부상 교통공사 흰내 마을 버스 은송 상업 조합등이 참석해 안전 삯보 추진 상향 경응과 안정 살리 강화방안을 함께 모색겠다
p00_u01,p00,xlsr-korean,no_se,0.5714,이날 회류는 일 고산 교평계사 네 마을버 음동 사업교학교 삼 사해 안전 사구 표진 사량 발이러니라 안당관리 과양 하안는 상모 소혔다
p00_u01,p00,xlsr-korean,taps,0.1857,임날 회일는 십 부산 교통공사 해 마을버스 운송 사업조합 등이 참석해 안전 확고 추진상한 경동과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,xlsr-korean,enc5,0.2286,임날 수위는 시 부산 교통공사 시해 마을버스 운송 사업조합 등이 참석해 안전사고 추진 상한 경동과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,xlsr-korean,ce0,0.2143,임날 회인는 시 부산 교통공사 신해 마을버스 운송 사업조합 등이 참석해 안전 사부 추진 상황 경동과 안정관리 강화 방안을 함께 모색켰다
p00_u01,p00,xlsr-korean,ce10,0.2286,이날 회위는 십 부산 교통공사 해 마을버스 운송 상업교합 등이 삼석해 안전확보 추진 상황 변문과 안정관리 강화방안을 함께 모색했다
p00_u01,p00,whisper-small,taps,0.1857,"이난순위는 시 부산교통공사, 시내 마을버스 운송사업조합 등이 참석해 안전 확고 추진 상황 경공과 안전 관리 강화 방안을 함께 모색했다."
p00_u01,p00,whisper-small,ce10,0.3000,"이난회인은 시 부상교통공사, 시내, 마을버스, 은송, 상업, 조합 등이 참석해 안전 삭보 추진 상황 경건과 안전 관리 강화 방안을 함께 모색했다"
p00_u01,p00,whisper-small,taps_notch,0.2429,"이난순위는 시 부산교통공사, 시내, 마을버스, 운송, 사업조합 등이 참석해 안전 확고 추진 상황 덩공과 안전 관리 강화 방안을 함께 모색했다."
p00_u01,p00,whisper-small,ce10_notch,0.2286,"이난수의 인은 시 부상교통공사, 시내 마을버스 운송사업조합 등이 참석해 안전 확보 추진 상황 경건과 안전 관리 광화방안을 함께 모색했다"
p00_u01,p00,whisper-small,taps_lpf4k,0.2714,"이낯은 이는 시 부상교통공사, 시킨의 마을버스 운송사업교합 등이 참석해 안전 확고 추진 상황 전공과 안전 관리 광화방안을 함께 모색했다."
p00_u01,p00,whisper-small,ce10_lpf4k,0.1571,"이난회의는 시 부상교통공사, 시내 마을버스 운송상업조합 등이 참석해 안전 확보 추진 상황 경건과 안전 관리 강화 방안을 함께 모색했다"
p00_u01,p00,whisper-small,hyb_tapsLow_ceHigh,0.2714,"이낯은 이는 시 부상교통공사, 시내, 마을버스, 운송, 사업조합 등이 참석해 안전 확보 추진 상황 전공과 안전 관리 광화방안을 함께 모색했다."
p00_u01,p00,whisper-small,hyb_ceLow_tapsHigh,0.2000,"이난 수의인은 시 부상교통공사, 시내 마을버스 운송상업조합 등이 참석해 안전 확보 추진 상황 경건과 안전 관리 강화 방안을 함께 모색했다."
p00_u02,p00,mms-1b-all,no_se,0.3548,도시철또는 정원 1기0명인 활찬 찬랑에 백8명의 참생했을 교우 혼작한 상태로 성무원에 관리가 필요하다
p00_u02,p00,mms-1b-all,taps,0.3548,도시출또는 정원120명인 항한 차랑의 18명의 탐승했을 경우 훈잡한 상태로 승무원에 관리가 필요하다
p00_u02,p00,mms-1b-all,enc5,0.3871,도시출또는 경원12명인 상한 차랑의 18명의 탐승했을 경우 분잡한 상태로 승무원에 갈리가 필요하다
p00_u02,p00,mms-1b-all,ce0,0.3710,도시출또는 정원12명인 항한 찬랑의 18명의 탐승했을 경우 훈잡한 상태로 승무원에 관리가 필요하다
p00_u02,p00,mms-1b-all,ce10,0.3226,도시출또는 정원 120명인 항한 찬랑의 18 명의 담승했을 경우 혼잡한 상태로 승무원에 관리가 필요하다
p00_u02,p00,xlsr-korean,no_se,0.3548,독기결도는 병원 백육백명인 한칸 탄나이 백 팔백 양의 탄풍 칸경우 혼잡한 사태로 세무원의 관리가 필요하다
p00_u02,p00,xlsr-korean,taps,0.0968,도시철도는 정원 백 이십 명인 한칸 사나의 백 팔십 명의 삼승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
p00_u02,p00,xlsr-korean,enc5,0.0806,도시철도는 경원 백 이십 명인 한칸 차량의 백 팔십 명의 상승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
p00_u02,p00,xlsr-korean,ce0,0.0806,도시철도는 병원 백 이십 명인 한칸 차량의 백 팔십 명이 탐승했을 경우 혼잡한 상태로 승무원는 관리가 필요하다
p00_u02,p00,xlsr-korean,ce10,0.0968,도시철도는 병원 백 이십 명인 한칸 사항에 백 팔십 명의 삼승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
p00_u02,p00,whisper-small,taps,0.2258,도시철도는 정원 120명인 황칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,whisper-small,ce10,0.3065,도시철도는 경원 120명인 상판 차량에 180명이 탐승했을 경우 혼자 판 상태로 승무원에 관리가 필요하다
p00_u02,p00,whisper-small,taps_notch,0.2258,도시철도는 정원 120명인 황칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,whisper-small,ce10_notch,0.2581,도시촬도는 병원 120명인 상판 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
p00_u02,p00,whisper-small,taps_lpf4k,0.2742,도시철도는 정원 120명인 황칸 차량에 180명이 탐승했을 경우 혼자 판 상태로 승무원의 관리가 필요하다.
p00_u02,p00,whisper-small,ce10_lpf4k,0.2258,도시철도는 정원 120명인 상판 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
p00_u02,p00,whisper-small,hyb_tapsLow_ceHigh,0.2742,도시철도는 정원 120명인 황칸 차량에 180명이 탐승했을 경우 혼자 판 상태로 승무원의 관리가 필요하다.
p00_u02,p00,whisper-small,hyb_ceLow_tapsHigh,0.2258,도시철도는 정원 120명인 항칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u03,p00,mms-1b-all,no_se,0.2771,구산이시는 출태근시간 체대 생관 손잡조가 120퍼트 4 수준으로 수조거이가 달리 생차에 크의 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,mms-1b-all,taps,0.1687,부산시는 출태근시간 폐대 순관 혼잡도가 백2퍼 4 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,mms-1b-all,enc5,0.1807,부산시은 출태근시간 표대 순관 혼잡도가 12퍼 내 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,mms-1b-all,ce0,0.2048,부산시은 출태근시간 최제 승관 혼잡도가 백2퍼 4 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준해서 안전하게 관리되고 있다
p00_u03,p00,mms-1b-all,ce10,0.1807,부산시는 출태군시간 최대 순간 혼잡도가 120퍼 내외 수준으로 수조공과 달리 승차일 크게 어려움을 겪제 않는 수준해서 안전하게 관리되고 있다
p00_u03,p00,xlsr-korean,no_se,0.3976,본사이시는 푸택양세간 최대 핑간 편납도가 백 이십 퍼센트 액의 필균으도 구속발간 반률 핑타해 코의 어려움을 찾지 않는 필균에서 안단하며 관련되고 있다
p00_u03,p00,xlsr-korean,taps,0.1084,부산시는 출택근 시간 최대 순간 손자도가 백 이십 퍼센트 네외 수준으로 수도권간 달리 승찰이 크기 어려움을 확지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,xlsr-korean,enc5,0.0964,부산시는 출택근 시간 최대 순간 환자도가 백 이십 퍼센트 네외 수준으로 수도권간 달리 승찰의 크기 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,xlsr-korean,ce0,0.0843,부산시는 출택근 시간 최대 순간 환자도가 백 이십 퍼센트 네외 수준으로 수도권과 달리 승찰 크기 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,xlsr-korean,ce10,0.1687,부산시는 슐택그 시간 최대 순간 훈자보가 백 이십 퍼센트 네외 수준으로 수도공간 달리 승찰 크기 어려움을 겪지 안는 수준에서 안전하게 관련되고 있다
p00_u03,p00,whisper-small,taps,0.1566,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내배 수준으로 수족권과 달리 승차의 크게 어려움을 펴지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,whisper-small,ce10,0.1446,부산시는 출 퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수족건과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,whisper-small,taps_notch,0.1566,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내배 수준으로 수족권과 달리 승차의 크게 어려움을 펴지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,whisper-small,ce10_notch,0.1205,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,whisper-small,taps_lpf4k,0.1566,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내배 수준으로 수족권과 달리 승차의 크게 어려움을 벗지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,whisper-small,ce10_lpf4k,0.1325,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수족건과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,whisper-small,hyb_tapsLow_ceHigh,0.1446,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내배 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,whisper-small,hyb_ceLow_tapsHigh,0.1446,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 추조권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u04,p00,mms-1b-all,no_se,0.3108,흰는 책은 pts 공역과 같이 은시적으로 흔잡도 상송의 외상되는 행사는 징차 출가 트입 무당차 운행종으로 훈잡도을 해소하기로 했다
p00_u04,p00,mms-1b-all,taps,0.1486,시는 책금 비키에을 공욕과 같이 일시적으로 훈잡도 상승이 예상되는 행사는 빙차 추가 투입 무정차 운행등으로 훈잡도를 해소하기로 했다
p00_u04,p00,mms-1b-all,enc5,0.1622,시는 책금 비키에스 공욕과 같이 일지적으로 훈잡도 상승이 예상되는 행사는 빈차 추가 투일 무정차 운행병으로 훈잡도를 해소하기로 했다
p00_u04,p00,mms-1b-all,ce0,0.1757,시는 책은 비키s 공욕과 같이 밀시적으로 훈잡도 상승이 예상되는 행사는 빈차 추가 트입 무정차 운행등으로 혼잡도를 해서하기로 했다
p00_u04,p00,mms-1b-all,ce10,0.2162,흰는 책은 비키에스 공역과 같치 은시적으로 훈잡도 상숭이 예상되는 행사는 빈차 추가 투입 우정차 운행병으로 훈잡도을 해소하기로 했다
p00_u04,p00,xlsr-korean,no_se,0.4324,그는 최견 북부했프 공명과 같을 육필적으로 혼작도 상을 예할매는 행사는 김파 크가 그 물방탄 은행 병으로 신작법을 훼손하기로 했다
p00_u04,p00,xlsr-korean,taps,0.1486,팀는 최근 빅기했을 공영과 같이 일시적으로 혼자도 상승이 예상되는 행사는 빈차 추가투이 무정차 은행 등으로 혼자도를 해소하기로 했다
p00_u04,p00,xlsr-korean,enc5,0.2027,씨는 최근 빅기했을 공영과 같이 일치적으로 혼작도 상승히 예상되는 행사는 빈차 추가 투이 우정차 은행 등으로 혼작도를 해소하기로 했다
p00_u04,p00,xlsr-korean,ce0,0.2027,이는 최근 빅기했을 공염과 같이 일시적으로 혼자도 상승히 예상되는 행사는 빈찰추가트 무정차 은행 등으로 혼자도를 해소하기로 했다
p00_u04,p00,xlsr-korean,ce10,0.2162,팀는 최근 피피했을 공영과 같이 을수적으로 혼자도 상승입 예상되는 행사는 빈찰추가트입 유병차 운행 등으로 혼잡도를 해소하기로 했다
p00_u04,p00,whisper-small,taps,0.1081,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,whisper-small,ce10,0.0946,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다"
p00_u04,p00,whisper-small,taps_notch,0.1351,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 트윗, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,whisper-small,ce10_notch,0.0946,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다"
p00_u04,p00,whisper-small,taps_lpf4k,0.1216,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빙차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,whisper-small,ce10_lpf4k,0.0946,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다"
p00_u04,p00,whisper-small,hyb_tapsLow_ceHigh,0.1351,"씨는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빙차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,whisper-small,hyb_ceLow_tapsHigh,0.1081,"씨는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다"
p00_u05,p00,mms-1b-all,no_se,0.4583,또 선제 은냥백구에 있는 부상 교통 종사 은행 관재 선이장 주이 매유월든 발념 매유월을 점면 재험점에 안정관리를 기속적으로 해나갈 방식이다
p00_u05,p00,mms-1b-all,taps,0.3472,또 현제 우역되고 있는 부상 교통 공사 운행 관재의 현장 조치 매유월등 달련 매유월을 점년 제검점에 안정관리를 기속적으로 해나갈 방깁니다
p00_u05,p00,mms-1b-all,enc5,0.3611,또 현재우냥되고 있는 부상 교통 공사 운행 관재의 현장 주이 매유월등 발련 매유월을 점면 제검점에 안정관리를 기속적으로 해나갈 방심니다
p00_u05,p00,mms-1b-all,ce0,0.3750,또 현제 운역되고 있는 부상 교통 공사 운행 관재의 현장 주이 매유월등 발념 매유원을 점년 제검점에 안정관리를 기속적으로 해나갈 방칩니다
p00_u05,p00,mms-1b-all,ce10,0.3611,또 현제은역되고 있는 두상 교통 공사 운행 관제 현장 주치 매유월등 발련 매유월을 점년 재검점에 관정관리를 기속적으로 해나갈 방십니다
p00_u05,p00,xlsr-korean,no_se,0.4583,또 현력 문영되보 있는 고상 교평 통사 논항 관대 한당 극표 메니원 등 관련 맹뉴을 병는 대검점에 안단 관리를 공속적으로 해나가 방등이다
p00_u05,p00,xlsr-korean,taps,0.2222,또 현재 운영되고에 있는 부상 교통 공사 은행 관제 현장 조치 메뉴할 등 관련 메뉴을 전난 재검점에 안전관리를 기속적으로 해나할 방침이다
p00_u05,p00,xlsr-korean,enc5,0.2361,또 현재 운영대구에 있는 부상 교통 공사 은행 관제 현장 조치 메뉴얼 등 관련 메뉴얼을 전면 재검점의 안전 관리를 기속적으로 해나할 방침이다
p00_u05,p00,xlsr-korean,ce0,0.2222,또 현재 운영되고에 있는 부상 교통공사 운행 관제 현장 수치 메뉴얼 등 관련 메뉴원을 전난 재검 점에 안전 관리를 기속적으로 해나할 방침이다
p00_u05,p00,xlsr-korean,ce10,0.3472,또 한재 운영 대부이 있는 부상교품 공사 은행 관제 현장 교치메뉴얼 등 반련 맹뉴주원을 전은 대검점인 안전관리를 기속적으로 해나간 방침이다
p00_u05,p00,whisper-small,taps,0.1944,"또, 현재 운영되고 있는 부상교통공사, 운행관제 현장 조치 메뉴얼 등 관련 메뉴얼을 전면 재검점에 안정관리를 기속적으로 해나갈 방퀴입니다."
p00_u05,p00,whisper-small,ce10,0.1250,"또 현재 운영되고 있는 부상교통공사, 운행관제, 현장조치 메뉴얼 등 관련 메뉴얼을 전면 재검점에 안정관리를 기속적으로 해나갈 방침이다"
p00_u05,p00,whisper-small,taps_notch,0.1667,"또, 현재 운영되고 있는 부상교통공사, 운행관제 현장 두치 메뉴얼 등 관련 메뉴얼을 전면 재검점에 안정관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,whisper-small,ce10_notch,0.1250,"또 현재 운영되고 있는 부상교통공사, 운행관제, 현장조치 매뉴얼 등 관련 매뉴얼을 접는 재검점에 안정관리를 기속적으로 해나갈 방침이다"
p00_u05,p00,whisper-small,taps_lpf4k,0.1389,"또 현재 운영되고 있는 부상교통공사, 운행관제 현장 조치 메뉴얼 등 관련 메뉴얼을 전면 재검점에 안정관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,whisper-small,ce10_lpf4k,0.1389,"또 현재 운영되고 있는 부상교통공사, 운행관제, 현장조치 매뉴얼 등 관련 매뉴얼을 접는 재검점에 안정관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,whisper-small,hyb_tapsLow_ceHigh,0.1389,"또, 현재 운영되고 있는 부상교통공사, 운행관계 현장 조치 매뉴얼 등 관련 매뉴얼을 전면 재검점에 안정관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,whisper-small,hyb_ceLow_tapsHigh,0.1528,"또 현재 운영되고 있는 부상교통공사, 운행관제 현장조치 메뉴얼 등 관련 메뉴얼을 점낸 재검점에 안정관리를 기속적으로 해나갈 방침이다."
p00_u06,p00,mms-1b-all,no_se,0.2703,신의 말을 뻗소는 출책은 시간때 일부 노손을 제외하거는 대부분의 노선이 흔잡도가 나아 선제는 새갇차의 어려우 없이 안전하게 관리되고 있다
p00_u06,p00,mms-1b-all,taps,0.1757,시의 말을법스는 출택은 시간때 일부 노선을 제외하고는 대부분의 노선이 흔잡도가 나자 현제낸 승하차의 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,mms-1b-all,enc5,0.2027,신의 말법스는 출택은 시간때 일부 노선을 제외하고는 대부분의 노선이 훈잡도가 나자 편제낸 승하차의 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,mms-1b-all,ce0,0.1757,시의 마을 법스는 출택은 시간때 일부 노선을 제외하고는 대부분의 노선이 훈잡도가 나자 편제는 승하차의 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,mms-1b-all,ce10,0.2432,흰의 말을법스는 출택은 시간때 일부 노선을 제외알고는 대부분의 노선이 훈잡도가 나자 현제는 순하차의 어려우 없이 안전하격 살리되고 있다
p00_u06,p00,xlsr-korean,no_se,0.3108,일네 마을법도는 출택양 시관에 일부 노선을 대외하거는 대부분의 노선히 혼력도가 마자 현재는 평아해의 어려움없이 안전하 관림되 있다
p00_u06,p00,xlsr-korean,taps,0.1216,시의마을박스는 출택근 시간대 일부 노선을 제외하고는 대부분의 노선히 혼적도가 낮자 현재는 승하차의 어려운없이 안전하게 관리되고 있다
p00_u06,p00,xlsr-korean,enc5,0.1081,시의마을버스는 출택근 시간대 일부 노선을 제외하고는 대부분의 노선히 혼적도가 낮자 현재는 승하차의 어려운없이 안전하게 관리되고 있다
p00_u06,p00,xlsr-korean,ce0,0.1216,시내 마을버스는 출택근 시간대 일부 노선을 제외하고는 대부분의 노선히 혼적도가 낮자 현재는 승하차의 어려운없이 안전하기 관리되고 있다
p00_u06,p00,xlsr-korean,ce10,0.2027,히네마을버스는 출택근 휴간때 일부 노선을 대외하고는 대부분의 노선히 혼자도가 나자 현재는 홍활탄의 어려 없이 안전하게 관리되고 있다
p00_u06,p00,whisper-small,taps,0.0676,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,whisper-small,ce10,0.0811,신의 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,whisper-small,taps_notch,0.0676,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,whisper-small,ce10_notch,0.0811,시내 마을 버스는 출퇴근 시간대 일부 노선을 대회하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,whisper-small,taps_lpf4k,0.0676,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,whisper-small,ce10_lpf4k,0.0541,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,whisper-small,hyb_tapsLow_ceHigh,0.0811,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼접도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,whisper-small,hyb_ceLow_tapsHigh,0.0676,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다.
p00_u07,p00,mms-1b-all,no_se,0.3600,앞으로 1는 2023년 사반기 중 하잡택의 의무제를 두입에 버쓰의 제차 이원 정보를 파하해 닥스행 의어낼 실시간 수집할 계획이다
p00_u07,p00,mms-1b-all,taps,0.2667,아으로 시는 2023년 하방기 중 사차택그 의무제를 도입에 버스의 제차 인원 정보를 파학히 8승 인원을 실식간 수집할 계획이다
p00_u07,p00,mms-1b-all,enc5,0.2667,앞으로 시는 2023년 하방기 중 사차택그 의무제를 도입에 버스의 제차 이원 종보를 파학해 탐승 이원을 실시간 수집할 계획이다
p00_u07,p00,mms-1b-all,ce0,0.2800,아으로 시는 2028년 하방기 중 사차택그 의무제를 도입에 뽑쓰의 제차 인원 정보를 파학히 탐승 인원을 실시간 수집할 계획이다
p00_u07,p00,mms-1b-all,ce10,0.2533,아으로 흰는 2023년 하방기 중 사차태그 의무제를 도입에 버스의 제차 인원 정보를 파학히 탐승 인원을 실시간 수집할 계획이다
p00_u07,p00,xlsr-korean,no_se,0.4533,앞으로 피는 이편이십 삼년 하마이 음중 한타페의 의물제를 도입해 버근에 배타유는병모을 파 악해 학부 운원을 출제가 코지판 계획이다
p00_u07,p00,xlsr-korean,taps,0.0933,앞으로 시는 이천 이십 삼 년 하반기 중 사차태의 의무제를 도입해 버스에 제차 인원 정보를 파악해 탑승 인원을 실시간 수십팔 계획이다
p00_u07,p00,xlsr-korean,enc5,0.1200,앞으로 시는 이천 이십 삼 년 하반기 중 사 자택의 의무제를 도입해 버스에 제차 인원 정보를 파악해 탑승 인원을 실시간 수집팔 계획이다
