utt,spk,cond,hyp
p00_u01,p00,mix0.00,이날 수임인은 시 부산교통공사 시내 마을버스 운송 사업 조합 등이 참석해 안전 확보 추진 상황 변경과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,mix0.25,이남순이 이는 시 부산교통공사 시내 마을버스 운송 사업조합 등이 참석해 안전 확보 추진 상황 변경과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,mix0.50,이남순이 이는 시 부산교통공사 시내 마을버스 운송 사업조합 등이 참석해 안전 확보 추진 상황 변경과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,mix0.75,이남순 이는 시 부산교통공사 시내 마을버스 운송 상업조합 등이 참석해 안전 확보 추진 성향 경험과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,mix1.00,인안소임인은 시부산교통공사 시내 마을버스 운송 상업조합 등이 참석해 안전 확보 추진 성향 경험과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,mix1.25,인안소임인은 시 부산교통공사 시내 마을버스 운송 상업조합 등이 참석해 안전사고 추진상황 경험과 안전관리 강화 방안을 함께 모색했다.
p00_u01,p00,mix1.50,인단소행인은 시 부산교통공사 시내 마을버스 운송 상업조합 등이 참석해 안전사고 추진상황 변경과 안전관리 강화 방안을 함께 모색했다.
p00_u01,p00,taps_lpf3k,이낙순이 이는 시부산교통공사 시내 마을버스 운송사업조합 등이 참석해 안전 확보 추진상황 전공과 안전관리 강화 방안을 함께 모색했다.
p00_u01,p00,taps_lpf4k,이낙순 이는 시 부산교통공사 시내 마을버스 운송 사업조합 등이 참석해 안전 확보 추진 상황 전공과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,taps_lpf5k,이낙순 이는 시 부산교통공사 시내 마을버스 운송 사업조합 등이 참석해 안전 확보 추진 상황 전공과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,taps_lpf6k,이낙순이 이는 시 부산교통공사 시내 마을버스 운송 사업조합 등이 참석해 안전 확보 추진 상황 변경과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,taps_lpf7k,이날 수임인은 시 부산교통공사 시내 마을버스 운송 사업조합 등이 참석해 안전 확보 추진 상황 변경과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,ce_lpf3k,인단수임인은 시부산교통공사 시내 마을버스 운송 사업조합 등이 참석해 안전 확보 추진 성향 점검과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,ce_lpf4k,이날 회의는 시 부산교통공사 시내 마을버스 운송 상업조합 등이 참석해 안전 확보 추진 성향 경험과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,ce_lpf5k,이날 회의는 시 부산교통공사 시내 마을버스 운송 상업조합 등이 참석해 안전 확보 추진 성향 경험과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,ce_lpf6k,이날 회의는 시 부산교통공사 시내 마을버스 운송 상업조합 등이 참석해 안전 확보 추진 성향 경험과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,ce_lpf7k,인안수임인은 시 부산교통공사 시내 마을버스 운송 상업조합 등이 참석해 안전 확보 추진 성향 경험과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,taps_notch,이낙순이 이는 시 부산교통공사 시내 마을버스 운송 사업조합 등이 참석해 안전 확보 추진 상황 변경과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,ce_notch,인단쇄인인은 시 부산교통공사 시내 마을버스 운송 상업조합 등이 참석해 안전 확보 추진 성향 경험과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,hyb_tapsLow_ceHigh,이날 수인인은 시 부산교통공사 시내 마을버스 운송 사업 조합 등이 참석해 안전 확보 추진 상황 전공과 안전 관리 강화 방안을 함께 모색했다.
p00_u01,p00,hyb_ceLow_tapsHigh,인난수행인은 시부산교통공사 시내 마을버스 운송상업조합 등이 참석해 안전 확보 추진상황 경험과 안전관리 강화 방안을 함께 모색했다.
p00_u02,p00,mix0.00,도시철도는 정원 120명인 한칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,mix0.25,도시철도는 정원 120명인 항칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,mix0.50,도시철도는 정원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,mix0.75,도시철도는 정원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
p00_u02,p00,mix1.00,도시철도는 정원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
p00_u02,p00,mix1.25,도시철도는 정원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,mix1.50,도시철도는 정원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,taps_lpf3k,도시철도는 정원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,taps_lpf4k,도시철도는 정원 120명인 한칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,taps_lpf5k,도시철도는 정원 120명인 한칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,taps_lpf6k,도시철도는 정원 120명인 한칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,taps_lpf7k,도시철도는 정원 120명인 한칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,ce_lpf3k,도시철도는 정원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
p00_u02,p00,ce_lpf4k,도시철도는 정원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
p00_u02,p00,ce_lpf5k,도시철도는 정원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,ce_lpf6k,도시철도는 경원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,ce_lpf7k,도시철도는 경원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,taps_notch,도시철도는 정원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,ce_notch,도시철도는 경원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,hyb_tapsLow_ceHigh,도시철도는 정원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,hyb_ceLow_tapsHigh,도시철도는 정원 120명인 한 칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u03,p00,mix0.00,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내뱃 수준으로 수조권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,mix0.25,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내뱃 수준으로 수조권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,mix0.50,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내뱃 수준으로 수도권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,mix0.75,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수도권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,mix1.00,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수도권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,mix1.25,"부산시는 출, 퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수도권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다."
p00_u03,p00,mix1.50,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수도권과 달리 승차유 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,taps_lpf3k,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내뱃 수준으로 수조권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,taps_lpf4k,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내뱃 수준으로 수조권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,taps_lpf5k,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내뱃 수준으로 수조권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,taps_lpf6k,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내뱃 수준으로 수조권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,taps_lpf7k,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내뱃 수준으로 수조권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,ce_lpf3k,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수소권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,ce_lpf4k,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수소권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,ce_lpf5k,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수도권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,ce_lpf6k,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수도권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,ce_lpf7k,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수도권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,taps_notch,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내뱃 수준으로 수조권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,ce_notch,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수도권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,hyb_tapsLow_ceHigh,"부산시는 출, 퇴근 시간 최대 순간 혼잡도가 120% 내뱃 수준으로 수도권과 달리 승차에 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다."
p00_u03,p00,hyb_ceLow_tapsHigh,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내외 수준으로 수도권과 달리 승차유 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u04,p00,mix0.00,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빙차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,mix0.25,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빙차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,mix0.50,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,mix0.75,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,mix1.00,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,mix1.25,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,mix1.50,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,taps_lpf3k,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,taps_lpf4k,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빙차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,taps_lpf5k,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빙차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,taps_lpf6k,"씨는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빙차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,taps_lpf7k,"씨는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빙차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,ce_lpf3k,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,ce_lpf4k,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,ce_lpf5k,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,ce_lpf6k,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,ce_lpf7k,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,taps_notch,"씨는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빙차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,ce_notch,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,hyb_tapsLow_ceHigh,"씨는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 트윗, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,hyb_ceLow_tapsHigh,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u05,p00,mix0.00,"또, 현재 운영되고 있는 부상교통공사 운행관제 현장조치 매뉴얼 등 단련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,mix0.25,"또, 현재 운영되고 있는 부상교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,mix0.50,"또, 현재 운영되고 있는 부산교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,mix0.75,"또, 현재 운영되고 있는 부산교통공사 운행관제 현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,mix1.00,또 현재 운영되고 있는 부산교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다.
p00_u05,p00,mix1.25,또 현재 운영되고 있는 부산교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다.
p00_u05,p00,mix1.50,"또, 현재 운영되고 있는 부산교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,taps_lpf3k,"또, 현재 운영되고 있는 부상교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,taps_lpf4k,"또, 현재 운영되고 있는 부상교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,taps_lpf5k,"또, 현재 운영되고 있는 부상교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,taps_lpf6k,"또, 현재 운영되고 있는 부상교통공사 운행관제 현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,taps_lpf7k,"또, 현재 운영되고 있는 부상교통공사 운행관제 현장조치 매뉴얼 등 단련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,ce_lpf3k,"또, 현재 운영되고 있는 부산교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,ce_lpf4k,"또, 현재 운영되고 있는 부산교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,ce_lpf5k,"또, 현재 운영되고 있는 부산교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,ce_lpf6k,"또, 현재 운영되고 있는 부산교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,ce_lpf7k,또 현재 운영되고 있는 부산교통공사 운행관제 현장조치 메뉴얼 등 관련 메뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다.
p00_u05,p00,taps_notch,"또, 현재 운영되고 있는 부상교통공사 운행관제현장조치 매뉴얼 등 단련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,ce_notch,"또, 현재 운영되고 있는 부산교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 계속적으로 해나갈 방침이다."
p00_u05,p00,hyb_tapsLow_ceHigh,또 현재 운영되고 있는 부상교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다.
p00_u05,p00,hyb_ceLow_tapsHigh,"또, 현재 운영되고 있는 부산교통공사 운행관제현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점해 안전관리를 기속적으로 해나갈 방침이다."
p00_u06,p00,mix0.00,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,mix0.25,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,mix0.50,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,mix0.75,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차의 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,mix1.00,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 숭하차에 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,mix1.25,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 숭하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,mix1.50,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 숭하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,taps_lpf3k,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,taps_lpf4k,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,taps_lpf5k,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,taps_lpf6k,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,taps_lpf7k,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,ce_lpf3k,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,ce_lpf4k,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 숭하차에 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,ce_lpf5k,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 숭하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,ce_lpf6k,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 숭하차에 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,ce_lpf7k,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 숭하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,taps_notch,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,ce_notch,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 숭하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,hyb_tapsLow_ceHigh,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승하차에 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,hyb_ceLow_tapsHigh,시내마을버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 숭하차에 어려움 없이 안전하게 관리되고 있다.
